DateUpdated,AgeGroups,Total cases,Confirmed cases,Probable cases,Total case rate,Total deaths,Confirmed deaths,Probable deaths
05/27/2021,0-9,21266,19931,1335,5649,1,1,0
05/27/2021,10-19,41363,37591,3772,9128,3,3,0
05/27/2021,20-29,60808,54548,6260,13066,10,10,0
05/27/2021,30-39,53926,48970,4956,12189,41,39,2
05/27/2021,40-49,48453,44467,3986,11196,150,119,31
05/27/2021,50-59,51855,48017,3838,9984,453,383,70
05/27/2021,60-69,34355,32182,2173,7798,1084,934,150
05/27/2021,70-79,17628,16587,1041,6528,1846,1562,284
05/27/2021,80 and older,16522,15071,1451,10005,4642,3720,922
05/28/2021,0-9,21298,19963,1335,5658,1,1,0
05/28/2021,10-19,41408,37631,3777,9138,3,3,0
05/28/2021,20-29,60837,54570,6267,13072,10,10,0
05/28/2021,30-39,53964,48995,4969,12197,42,40,2
05/28/2021,40-49,48486,44498,3988,11203,150,119,31
05/28/2021,50-59,51876,48034,3842,9988,454,384,70
05/28/2021,60-69,34361,32185,2176,7799,1087,936,151
05/28/2021,70-79,17631,16588,1043,6530,1847,1563,284
05/28/2021,80 and older,16520,15069,1451,10004,4644,3721,923
06/01/2021,0-9,21335,19988,1347,5667,1,1,0
06/01/2021,10-19,41438,37650,3788,9145,3,3,0
06/01/2021,20-29,60872,54599,6273,13080,10,10,0
06/01/2021,30-39,54011,49039,4972,12208,42,40,2
06/01/2021,40-49,48518,44522,3996,11211,151,119,32
06/01/2021,50-59,51887,48040,3847,9990,457,386,71
06/01/2021,60-69,34375,32198,2177,7802,1088,937,151
06/01/2021,70-79,17638,16593,1045,6532,1847,1563,284
06/01/2021,80 and older,16530,15077,1453,10010,4645,3721,924
06/02/2021,0-9,21343,19992,1351,5670,1,1,0
06/02/2021,10-19,41455,37663,3792,9149,3,3,0
06/02/2021,20-29,60883,54602,6281,13082,10,10,0
06/02/2021,30-39,54028,49045,4983,12212,42,40,2
06/02/2021,40-49,48529,44531,3998,11213,151,119,32
06/02/2021,50-59,51916,48065,3851,9996,459,388,71
06/02/2021,60-69,34384,32204,2180,7804,1088,937,151
06/02/2021,70-79,17643,16598,1045,6534,1848,1564,284
06/02/2021,80 and older,16539,15085,1454,10015,4645,3721,924
06/03/2021,0-9,21359,20006,1353,5674,1,1,0
06/03/2021,10-19,41468,37673,3795,9151,3,3,0
06/03/2021,20-29,60899,54619,6280,13086,10,10,0
06/03/2021,30-39,54031,49046,4985,12212,42,40,2
06/03/2021,40-49,48537,44536,4001,11215,150,118,32
06/03/2021,50-59,51918,48066,3852,9996,458,387,71
06/03/2021,60-69,34385,32206,2179,7805,1088,937,151
06/03/2021,70-79,17650,16602,1048,6537,1848,1563,285
06/03/2021,80 and older,16540,15083,1457,10016,4645,3718,927
06/04/2021,0-9,21378,20017,1361,5679,1,1,0
06/04/2021,10-19,41484,37685,3799,9155,3,3,0
06/04/2021,20-29,60934,54631,6303,13093,10,10,0
06/04/2021,30-39,54059,49058,5001,12219,42,40,2
06/04/2021,40-49,48553,44547,4006,11219,150,118,32
06/04/2021,50-59,51934,48075,3859,9999,458,387,71
06/04/2021,60-69,34394,32212,2182,7807,1088,937,151
06/04/2021,70-79,17654,16604,1050,6538,1848,1563,285
06/04/2021,80 and older,16543,15085,1458,10018,4646,3718,928
06/07/2021,0-9,21403,20040,1363,5686,1,1,0
06/07/2021,10-19,41510,37706,3804,9161,3,3,0
06/07/2021,20-29,60977,54672,6305,13102,10,10,0
06/07/2021,30-39,54094,49093,5001,12227,43,41,2
06/07/2021,40-49,48581,44573,4008,11225,150,118,32
06/07/2021,50-59,51954,48094,3860,10003,460,389,71
06/07/2021,60-69,34405,32223,2182,7809,1089,938,151
06/07/2021,70-79,17660,16608,1052,6540,1850,1564,286
06/07/2021,80 and older,16547,15090,1457,10020,4647,3719,928
06/08/2021,0-9,21407,20043,1364,5687,1,1,0
06/08/2021,10-19,41525,37717,3808,9164,3,3,0
06/08/2021,20-29,60993,54684,6309,13106,10,10,0
06/08/2021,30-39,54105,49102,5003,12229,43,41,2
06/08/2021,40-49,48588,44576,4012,11227,151,119,32
06/08/2021,50-59,51961,48100,3861,10004,460,389,71
06/08/2021,60-69,34408,32224,2184,7810,1090,939,151
06/08/2021,70-79,17662,16609,1053,6541,1850,1564,286
06/08/2021,80 and older,16549,15092,1457,10021,4647,3719,928
08/30/2021,0-9,23967,22302,1665,6367,1,1,0
08/30/2021,10-19,44630,40276,4354,9849,4,4,0
08/30/2021,20-29,65939,58581,7358,14169,11,11,0
08/30/2021,30-39,58295,52497,5798,13176,45,43,2
08/30/2021,40-49,51753,47230,4523,11958,156,125,31
08/30/2021,50-59,54671,50336,4335,10526,478,403,75
08/30/2021,60-69,36171,33728,2443,8210,1104,955,149
08/30/2021,70-79,18620,17455,1165,6896,1871,1585,286
08/30/2021,80 and older,17106,15554,1552,10358,4688,3755,933
08/31/2021,0-9,24087,22407,1680,6398,1,1,0
08/31/2021,10-19,44744,40365,4379,9874,4,4,0
08/31/2021,20-29,66143,58726,7417,14212,11,11,0
08/31/2021,30-39,58473,52634,5839,13216,45,43,2
08/31/2021,40-49,51883,47329,4554,11988,156,125,31
08/31/2021,50-59,54795,50427,4368,10550,478,403,75
08/31/2021,60-69,36253,33795,2458,8229,1104,955,149
08/31/2021,70-79,18650,17481,1169,6907,1871,1585,286
08/31/2021,80 and older,17127,15573,1554,10371,4688,3755,933
09/01/2021,0-9,24166,22481,1685,6419,1,1,0
09/01/2021,10-19,44818,40430,4388,9891,4,4,0
09/01/2021,20-29,66257,58814,7443,14237,11,11,0
09/01/2021,30-39,58579,52724,5855,13240,45,43,2
09/01/2021,40-49,51975,47404,4571,12010,156,125,31
09/01/2021,50-59,54913,50530,4383,10573,478,403,75
09/01/2021,60-69,36314,33852,2462,8242,1104,955,149
09/01/2021,70-79,18693,17511,1182,6923,1871,1585,286
09/01/2021,80 and older,17152,15589,1563,10386,4688,3755,933
09/02/2021,0-9,24265,22570,1695,6446,1,1,0
09/02/2021,10-19,44891,40497,4394,9907,4,4,0
09/02/2021,20-29,66374,58933,7441,14262,11,11,0
09/02/2021,30-39,58693,52839,5854,13266,46,44,2
09/02/2021,40-49,52070,47497,4573,12032,158,126,32
09/02/2021,50-59,54984,50595,4389,10587,485,408,77
09/02/2021,60-69,36368,33902,2466,8255,1107,957,150
09/02/2021,70-79,18732,17546,1186,6937,1878,1592,286
09/02/2021,80 and older,17174,15613,1561,10400,4704,3768,936
09/03/2021,0-9,24352,22652,1700,6469,1,1,0
09/03/2021,10-19,44973,40567,4406,9925,4,4,0
09/03/2021,20-29,66505,59036,7469,14290,11,11,0
09/03/2021,30-39,58800,52921,5879,13290,46,44,2
09/03/2021,40-49,52147,47565,4582,12049,158,126,32
09/03/2021,50-59,55067,50667,4400,10602,485,408,77
09/03/2021,60-69,36422,33946,2476,8267,1107,957,150
09/03/2021,70-79,18760,17566,1194,6948,1878,1592,286
09/03/2021,80 and older,17191,15627,1564,10410,4704,3768,936
09/07/2021,0-9,24550,22839,1711,6521,1,1,0
09/07/2021,10-19,45209,40781,4428,9977,4,4,0
09/07/2021,20-29,66786,59285,7501,14351,11,11,0
09/07/2021,30-39,59056,53138,5918,13348,46,44,2
09/07/2021,40-49,52323,47722,4601,12090,158,126,32
09/07/2021,50-59,55265,50844,4421,10641,485,408,77
09/07/2021,60-69,36558,34076,2482,8298,1107,957,150
09/07/2021,70-79,18846,17648,1198,6979,1878,1592,286
09/07/2021,80 and older,17236,15668,1568,10437,4705,3769,936
09/08/2021,0-9,24650,22912,1738,6548,1,1,0
09/08/2021,10-19,45354,40887,4467,10009,4,4,0
06/09/2021,0-9,21413,20046,1367,5688,1,1,0
06/09/2021,10-19,41548,37734,3814,9169,3,3,0
06/09/2021,20-29,61009,54692,6317,13109,10,10,0
06/09/2021,30-39,54122,49113,5009,12233,43,41,2
06/09/2021,40-49,48600,44588,4012,11230,151,119,32
06/09/2021,50-59,51979,48108,3871,10008,460,389,71
06/09/2021,60-69,34416,32232,2184,7812,1091,940,151
06/09/2021,70-79,17665,16610,1055,6542,1851,1565,286
06/09/2021,80 and older,16551,15094,1457,10022,4647,3719,928
06/10/2021,0-9,21423,20056,1367,5691,1,1,0
06/10/2021,10-19,41553,37739,3814,9170,3,3,0
06/10/2021,20-29,61027,54705,6322,13113,10,10,0
06/10/2021,30-39,54130,49119,5011,12235,43,41,2
06/10/2021,40-49,48612,44597,4015,11232,151,119,32
06/10/2021,50-59,51978,48108,3870,10008,462,391,71
06/10/2021,60-69,34420,32236,2184,7813,1091,940,151
06/10/2021,70-79,17666,16611,1055,6542,1851,1565,286
06/10/2021,80 and older,16553,15096,1457,10024,4648,3720,928
06/11/2021,0-9,21429,20062,1367,5692,1,1,0
06/11/2021,10-19,41556,37742,3814,9171,3,3,0
06/11/2021,20-29,61029,54708,6321,13114,10,10,0
06/11/2021,30-39,54138,49123,5015,12237,43,41,2
06/11/2021,40-49,48619,44603,4016,11234,151,119,32
06/11/2021,50-59,51984,48111,3873,10009,463,391,72
06/11/2021,60-69,34421,32235,2186,7813,1091,940,151
06/11/2021,70-79,17668,16613,1055,6543,1851,1565,286
06/11/2021,80 and older,16553,15096,1457,10024,4648,3720,928
06/14/2021,0-9,21441,20072,1369,5696,1,1,0
06/14/2021,10-19,41576,37757,3819,9175,3,3,0
06/14/2021,20-29,61050,54727,6323,13118,10,10,0
06/14/2021,30-39,54155,49136,5019,12240,43,41,2
06/14/2021,40-49,48635,44614,4021,11238,151,119,32
06/14/2021,50-59,51997,48120,3877,10011,463,391,72
06/14/2021,60-69,34433,32246,2187,7816,1092,941,151
06/14/2021,70-79,17673,16618,1055,6545,1851,1565,286
06/14/2021,80 and older,16554,15096,1458,10024,4649,3720,929
06/15/2021,0-9,21444,20074,1370,5696,1,1,0
06/15/2021,10-19,41584,37758,3826,9177,3,3,0
06/15/2021,20-29,61065,54737,6328,13121,10,10,0
06/15/2021,30-39,54162,49143,5019,12242,43,41,2
06/15/2021,40-49,48644,44620,4024,11240,151,119,32
06/15/2021,50-59,52005,48125,3880,10013,463,391,72
06/15/2021,60-69,34435,32248,2187,7816,1092,941,151
06/15/2021,70-79,17676,16621,1055,6546,1851,1565,286
06/15/2021,80 and older,16556,15098,1458,10025,4649,3720,929
06/16/2021,0-9,21447,20076,1371,5697,1,1,0
06/16/2021,10-19,41589,37761,3828,9178,3,3,0
06/16/2021,20-29,61072,54743,6329,13123,10,10,0
06/16/2021,30-39,54170,49150,5020,12244,43,41,2
06/16/2021,40-49,48649,44625,4024,11241,151,119,32
06/16/2021,50-59,52011,48131,3880,10014,463,391,72
06/16/2021,60-69,34440,32250,2190,7817,1092,941,151
06/16/2021,70-79,17679,16625,1054,6547,1852,1566,286
06/16/2021,80 and older,16558,15098,1460,10027,4650,3720,930
06/17/2021,0-9,21450,20079,1371,5698,1,1,0
06/17/2021,10-19,41598,37766,3832,9180,3,3,0
06/17/2021,20-29,61078,54744,6334,13124,10,10,0
06/17/2021,30-39,54179,49155,5024,12246,43,41,2
06/17/2021,40-49,48651,44628,4023,11242,151,119,32
06/17/2021,50-59,52013,48132,3881,10014,463,391,72
06/17/2021,60-69,34444,32251,2193,7818,1092,941,151
06/17/2021,70-79,17680,16626,1054,6548,1852,1566,286
06/17/2021,80 and older,16558,15097,1461,10027,4651,3720,931
06/18/2021,0-9,21461,20089,1372,5701,1,1,0
06/18/2021,10-19,41615,37782,3833,9184,3,3,0
06/18/2021,20-29,61089,54751,6338,13126,10,10,0
06/18/2021,30-39,54190,49161,5029,12248,43,41,2
06/18/2021,40-49,48662,44638,4024,11244,152,120,32
06/18/2021,50-59,52017,48137,3880,10015,463,391,72
06/18/2021,60-69,34451,32255,2196,7820,1092,941,151
06/18/2021,70-79,17680,16626,1054,6548,1852,1566,286
06/18/2021,80 and older,16559,15097,1462,10027,4654,3722,932
09/08/2021,20-29,66955,59397,7558,14387,11,11,0
09/08/2021,30-39,59199,53228,5971,13381,46,44,2
09/08/2021,40-49,52449,47791,4658,12119,158,126,32
09/08/2021,50-59,55356,50906,4450,10658,488,411,77
09/08/2021,60-69,36646,34139,2507,8318,1111,961,150
09/08/2021,70-79,18892,17681,1211,6997,1882,1596,286
09/08/2021,80 and older,17263,15682,1581,10453,4714,3774,940
12/08/2021,0-9,31479,29302,2177,8362,1,1,0
12/08/2021,10-19,52651,47562,5089,11619,4,4,0
12/08/2021,20-29,75355,66930,8425,16192,17,16,1
12/08/2021,30-39,68382,61595,6787,15456,61,53,8
12/08/2021,40-49,60068,54799,5269,13880,181,145,36
12/08/2021,50-59,62383,57323,5060,12011,528,443,85
12/08/2021,60-69,42065,39074,2991,9548,1215,1045,170
12/08/2021,70-79,21387,19939,1448,7921,2003,1689,314
12/08/2021,80 and older,18809,17044,1765,11390,4936,3932,1004
12/09/2021,0-9,31781,29563,2218,8442,1,1,0
12/09/2021,10-19,53074,47894,5180,11713,4,4,0
12/09/2021,20-29,75807,67238,8569,16289,17,16,1
12/09/2021,30-39,68834,61921,6913,15558,61,53,8
12/09/2021,40-49,60428,55057,5371,13963,181,145,36
12/09/2021,50-59,62730,57583,5147,12078,528,443,85
12/09/2021,60-69,42290,39243,3047,9599,1215,1045,170
12/09/2021,70-79,21465,19999,1466,7949,2003,1689,314
12/09/2021,80 and older,18850,17085,1765,11414,4936,3933,1003
12/10/2021,0-9,32254,30012,2242,8568,1,1,0
12/10/2021,10-19,53565,48363,5202,11821,4,4,0
12/10/2021,20-29,76313,67714,8599,16398,19,16,3
12/10/2021,30-39,69341,62392,6949,15673,63,54,9
12/10/2021,40-49,60871,55474,5397,14065,181,145,36
12/10/2021,50-59,63152,57982,5170,12159,529,444,85
12/10/2021,60-69,42560,39502,3058,9660,1220,1049,171
12/10/2021,70-79,21566,20094,1472,7987,2009,1695,314
12/10/2021,80 and older,18916,17127,1789,11454,4946,3943,1003
12/13/2021,0-9,33071,30426,2645,8785,1,1,0
12/13/2021,10-19,54714,48840,5874,12075,4,4,0
12/13/2021,20-29,77750,68166,9584,16706,19,16,3
12/13/2021,30-39,70745,62911,7834,15990,63,54,9
12/13/2021,40-49,61967,55879,6088,14318,181,145,36
12/13/2021,50-59,64200,58375,5825,12361,530,445,85
12/13/2021,60-69,43185,39739,3446,9802,1219,1048,171
12/13/2021,70-79,21793,20185,1608,8071,2008,1694,314
12/13/2021,80 and older,19003,17184,1819,11507,4947,3944,1003
12/14/2021,0-9,33444,30738,2706,8884,1,1,0
12/14/2021,10-19,55169,49204,5965,12175,4,4,0
12/14/2021,20-29,78209,68504,9705,16805,19,16,3
12/14/2021,30-39,71280,63333,7947,16111,63,54,9
12/14/2021,40-49,62392,56215,6177,14417,182,146,36
12/14/2021,50-59,64603,58692,5911,12439,532,447,85
12/14/2021,60-69,43393,39916,3477,9849,1223,1049,174
12/14/2021,70-79,21881,20248,1633,8103,2017,1700,317
12/14/2021,80 and older,19057,17228,1829,11540,4959,3953,1006
12/15/2021,0-9,33692,30936,2756,8950,1,1,0
12/15/2021,10-19,55408,49393,6015,12228,4,4,0
12/15/2021,20-29,78461,68724,9737,16859,19,16,3
12/15/2021,30-39,71582,63620,7962,16179,63,54,9
06/21/2021,0-9,21472,20099,1373,5704,1,1,0
06/21/2021,10-19,41643,37800,3843,9190,3,3,0
06/21/2021,20-29,61103,54762,6341,13129,10,10,0
06/21/2021,30-39,54219,49190,5029,12255,43,41,2
06/21/2021,40-49,48665,44638,4027,11245,152,120,32
06/21/2021,50-59,52029,48146,3883,10018,463,391,72
06/21/2021,60-69,34451,32256,2195,7820,1091,941,150
06/21/2021,70-79,17682,16629,1053,6548,1852,1566,286
06/21/2021,80 and older,16560,15098,1462,10028,4654,3722,932
06/22/2021,0-9,21479,20107,1372,5706,1,1,0
06/22/2021,10-19,41654,37804,3850,9192,3,3,0
06/22/2021,20-29,61114,54768,6346,13132,10,10,0
06/22/2021,30-39,54224,49190,5034,12256,43,41,2
06/22/2021,40-49,48669,44642,4027,11246,152,120,32
06/22/2021,50-59,52032,48147,3885,10018,463,391,72
06/22/2021,60-69,34455,32259,2196,7821,1092,942,150
06/22/2021,70-79,17682,16629,1053,6548,1852,1566,286
06/22/2021,80 and older,16561,15099,1462,10028,4655,3723,932
06/23/2021,0-9,21482,20110,1372,5706,1,1,0
06/23/2021,10-19,41659,37806,3853,9194,3,3,0
06/23/2021,20-29,61124,54772,6352,13134,10,10,0
06/23/2021,30-39,54229,49195,5034,12257,43,41,2
06/23/2021,40-49,48678,44647,4031,11248,152,120,32
06/23/2021,50-59,52036,48151,3885,10019,463,391,72
06/23/2021,60-69,34455,32259,2196,7821,1092,942,150
06/23/2021,70-79,17685,16631,1054,6550,1852,1566,286
06/23/2021,80 and older,16560,15099,1461,10028,4655,3723,932
06/24/2021,0-9,21499,20124,1375,5711,1,1,0
06/24/2021,10-19,41678,37822,3856,9198,3,3,0
06/24/2021,20-29,61160,54806,6354,13142,10,10,0
06/24/2021,30-39,54251,49218,5033,12262,43,41,2
06/24/2021,40-49,48694,44660,4034,11251,152,120,32
06/24/2021,50-59,52053,48164,3889,10022,463,392,71
06/24/2021,60-69,34470,32273,2197,7824,1092,942,150
06/24/2021,70-79,17691,16640,1051,6552,1853,1568,285
06/24/2021,80 and older,16566,15104,1462,10031,4657,3725,932
06/25/2021,0-9,21508,20132,1376,5713,1,1,0
06/25/2021,10-19,41704,37844,3860,9203,3,3,0
06/25/2021,20-29,61179,54829,6350,13146,10,10,0
06/25/2021,30-39,54276,49243,5033,12268,43,41,2
06/25/2021,40-49,48714,44680,4034,11256,152,120,32
06/25/2021,50-59,52064,48177,3887,10024,463,392,71
06/25/2021,60-69,34480,32284,2196,7826,1092,942,150
06/25/2021,70-79,17695,16645,1050,6553,1853,1568,285
06/25/2021,80 and older,16570,15111,1459,10034,4658,3728,930
06/28/2021,0-9,21522,20142,1380,5717,1,1,0
06/28/2021,10-19,41724,37858,3866,9208,3,3,0
06/28/2021,20-29,61208,54856,6352,13152,10,10,0
06/28/2021,30-39,54305,49270,5035,12274,43,41,2
06/28/2021,40-49,48728,44693,4035,11259,152,120,32
06/28/2021,50-59,52084,48196,3888,10028,463,392,71
06/28/2021,60-69,34489,32292,2197,7828,1093,942,151
06/28/2021,70-79,17701,16650,1051,6555,1853,1568,285
06/28/2021,80 and older,16574,15116,1458,10036,4658,3728,930
06/29/2021,0-9,21525,20144,1381,5718,1,1,0
06/29/2021,10-19,41731,37864,3867,9209,3,3,0
06/29/2021,20-29,61213,54859,6354,13153,10,10,0
06/29/2021,30-39,54310,49273,5037,12275,43,41,2
06/29/2021,40-49,48732,44697,4035,11260,152,120,32
06/29/2021,50-59,52091,48201,3890,10029,463,392,71
06/29/2021,60-69,34492,32295,2197,7829,1093,942,151
06/29/2021,70-79,17704,16653,1051,6557,1853,1568,285
06/29/2021,80 and older,16578,15120,1458,10039,4658,3728,930
06/30/2021,0-9,21530,20148,1382,5719,1,1,0
06/30/2021,10-19,41743,37871,3872,9212,3,3,0
06/30/2021,20-29,61219,54861,6358,13154,10,10,0
06/30/2021,30-39,54317,49278,5039,12277,43,41,2
06/30/2021,40-49,48737,44702,4035,11261,152,120,32
06/30/2021,50-59,52098,48205,3893,10031,464,393,71
06/30/2021,60-69,34498,32297,2201,7830,1093,942,151
06/30/2021,70-79,17706,16654,1052,6557,1853,1568,285
06/30/2021,80 and older,16579,15120,1459,10039,4659,3728,931
09/09/2021,0-9,24771,23016,1755,6580,1,1,0
09/09/2021,10-19,45423,40941,4482,10024,4,4,0
09/09/2021,20-29,67043,59454,7589,14406,11,11,0
09/09/2021,30-39,59290,53302,5988,13401,46,44,2
09/09/2021,40-49,52516,47840,4676,12135,158,126,32
09/09/2021,50-59,55437,50962,4475,10674,488,411,77
09/09/2021,60-69,36690,34167,2523,8328,1112,961,151
09/09/2021,70-79,18932,17713,1219,7011,1882,1596,286
09/09/2021,80 and older,17286,15696,1590,10467,4714,3774,940
09/10/2021,0-9,24854,23096,1758,6602,1,1,0
09/10/2021,10-19,45542,41050,4492,10050,4,4,0
09/10/2021,20-29,67151,59543,7608,14429,11,11,0
09/10/2021,30-39,59380,53376,6004,13421,46,44,2
09/10/2021,40-49,52584,47898,4686,12150,158,126,32
09/10/2021,50-59,55501,51023,4478,10686,490,412,78
09/10/2021,60-69,36750,34223,2527,8341,1113,962,151
09/10/2021,70-79,18951,17729,1222,7018,1884,1598,286
09/10/2021,80 and older,17301,15708,1593,10477,4717,3775,942
09/13/2021,0-9,25008,23225,1783,6643,1,1,0
09/13/2021,10-19,45754,41228,4526,10097,4,4,0
09/13/2021,20-29,67394,59736,7658,14481,11,11,0
09/13/2021,30-39,59611,53570,6041,13474,46,44,2
09/13/2021,40-49,52745,48030,4715,12187,158,126,32
09/13/2021,50-59,55645,51142,4503,10714,490,412,78
09/13/2021,60-69,36852,34312,2540,8365,1113,962,151
09/13/2021,70-79,19010,17777,1233,7040,1884,1598,286
09/13/2021,80 and older,17338,15746,1592,10499,4717,3775,942
09/14/2021,0-9,25119,23329,1790,6673,1,1,0
09/14/2021,10-19,45921,41379,4542,10134,4,4,0
09/14/2021,20-29,67585,59918,7667,14522,11,11,0
09/14/2021,30-39,59781,53719,6062,13512,46,44,2
09/14/2021,40-49,52866,48149,4717,12215,159,127,32
09/14/2021,50-59,55762,51242,4520,10736,492,414,78
09/14/2021,60-69,36958,34396,2562,8389,1118,965,153
09/14/2021,70-79,19054,17809,1245,7057,1889,1601,288
09/14/2021,80 and older,17361,15770,1591,10513,4726,3783,943
09/15/2021,0-9,25165,23367,1798,6685,1,1,0
09/15/2021,10-19,45998,41442,4556,10151,4,4,0
09/15/2021,20-29,67630,59952,7678,14532,11,11,0
09/15/2021,30-39,59860,53786,6074,13530,46,44,2
09/15/2021,40-49,52914,48190,4724,12227,159,127,32
09/15/2021,50-59,55805,51279,4526,10745,492,414,78
09/15/2021,60-69,36997,34430,2567,8398,1118,965,153
09/15/2021,70-79,19073,17826,1247,7064,1889,1601,288
09/15/2021,80 and older,17367,15774,1593,10516,4727,3783,944
09/16/2021,0-9,25297,23456,1841,6720,1,1,0
09/16/2021,10-19,46187,41537,4650,10193,4,4,0
09/16/2021,20-29,67828,60070,7758,14575,11,11,0
09/16/2021,30-39,60028,53903,6125,13568,46,44,2
09/16/2021,40-49,53048,48286,4762,12257,159,127,32
09/16/2021,50-59,55908,51344,4564,10764,492,414,78
09/16/2021,60-69,37087,34500,2587,8418,1118,965,153
09/16/2021,70-79,19107,17858,1249,7076,1889,1601,288
09/16/2021,80 and older,17382,15784,1598,10526,4727,3783,944
09/17/2021,0-9,25542,23644,1898,6785,1,1,0
09/17/2021,10-19,46445,41702,4743,10250,4,4,0
07/01/2021,0-9,21534,20151,1383,5720,1,1,0
07/01/2021,10-19,41746,37875,3871,9213,3,3,0
07/01/2021,20-29,61227,54865,6362,13156,10,10,0
07/01/2021,30-39,54322,49280,5042,12278,43,41,2
07/01/2021,40-49,48740,44706,4034,11262,152,120,32
07/01/2021,50-59,52106,48213,3893,10032,465,394,71
07/01/2021,60-69,34499,32298,2201,7831,1093,942,151
07/01/2021,70-79,17707,16655,1052,6558,1853,1568,285
07/01/2021,80 and older,16581,15122,1459,10041,4659,3728,931
07/02/2021,0-9,21542,20156,1386,5722,1,1,0
07/02/2021,10-19,41756,37882,3874,9215,3,3,0
07/02/2021,20-29,61244,54873,6371,13160,10,10,0
07/02/2021,30-39,54339,49293,5046,12282,43,41,2
07/02/2021,40-49,48748,44710,4038,11264,152,120,32
07/02/2021,50-59,52124,48221,3903,10036,465,394,71
07/02/2021,60-69,34507,32306,2201,7832,1093,942,151
07/02/2021,70-79,17709,16656,1053,6558,1853,1568,285
07/02/2021,80 and older,16582,15122,1460,10041,4659,3728,931
07/06/2021,0-9,21552,20165,1387,5725,1,1,0
07/06/2021,10-19,41772,37896,3876,9218,3,3,0
07/06/2021,20-29,61296,54916,6380,13171,10,10,0
07/06/2021,30-39,54390,49335,5055,12294,43,41,2
07/06/2021,40-49,48764,44724,4040,11268,152,120,32
07/06/2021,50-59,52138,48236,3902,10039,465,394,71
07/06/2021,60-69,34517,32317,2200,7835,1093,943,150
07/06/2021,70-79,17714,16662,1052,6560,1854,1569,285
07/06/2021,80 and older,16587,15129,1458,10044,4658,3730,928
07/07/2021,0-9,21563,20174,1389,5728,1,1,0
07/07/2021,10-19,41782,37902,3880,9221,3,3,0
07/07/2021,20-29,61313,54929,6384,13175,10,10,0
07/07/2021,30-39,54400,49344,5056,12296,43,41,2
07/07/2021,40-49,48782,44738,4044,11272,152,120,32
07/07/2021,50-59,52153,48246,3907,10041,465,394,71
07/07/2021,60-69,34521,32320,2201,7836,1093,943,150
07/07/2021,70-79,17718,16665,1053,6562,1854,1569,285
07/07/2021,80 and older,16588,15130,1458,10045,4657,3729,928
07/08/2021,0-9,21566,20176,1390,5729,1,1,0
07/08/2021,10-19,41785,37906,3879,9221,3,3,0
07/08/2021,20-29,61328,54937,6391,13178,10,10,0
07/08/2021,30-39,54408,49348,5060,12298,43,41,2
07/08/2021,40-49,48791,44744,4047,11274,152,120,32
07/08/2021,50-59,52157,48251,3906,10042,465,394,71
07/08/2021,60-69,34527,32323,2204,7837,1093,943,150
07/08/2021,70-79,17720,16665,1055,6562,1854,1569,285
07/08/2021,80 and older,16591,15132,1459,10047,4658,3729,929
07/09/2021,0-9,21583,20191,1392,5733,1,1,0
07/09/2021,10-19,41822,37944,3878,9229,3,3,0
07/09/2021,20-29,61369,54965,6404,13187,10,10,0
07/09/2021,30-39,54440,49371,5069,12305,43,41,2
07/09/2021,40-49,48814,44761,4053,11279,152,120,32
07/09/2021,50-59,52165,48256,3909,10044,465,394,71
07/09/2021,60-69,34535,32330,2205,7839,1093,943,150
07/09/2021,70-79,17724,16670,1054,6564,1854,1569,285
07/09/2021,80 and older,16592,15133,1459,10047,4658,3729,929
07/12/2021,0-9,21589,20196,1393,5735,1,1,0
07/12/2021,10-19,41836,37953,3883,9233,3,3,0
07/12/2021,20-29,61383,54972,6411,13190,10,10,0
07/12/2021,30-39,54455,49382,5073,12308,43,41,2
07/12/2021,40-49,48819,44765,4054,11280,152,120,32
07/12/2021,50-59,52169,48259,3910,10045,465,394,71
07/12/2021,60-69,34538,32330,2208,7839,1093,943,150
07/12/2021,70-79,17728,16673,1055,6565,1854,1569,285
07/12/2021,80 and older,16598,15133,1465,10051,4658,3729,929
07/13/2021,0-9,21600,20208,1392,5738,1,1,0
07/13/2021,10-19,41873,37984,3889,9241,3,3,0
07/13/2021,20-29,61442,55019,6423,13202,10,10,0
07/13/2021,30-39,54492,49409,5083,12317,43,41,2
07/13/2021,40-49,48845,44785,4060,11286,152,120,32
07/13/2021,50-59,52188,48271,3917,10048,465,394,71
07/13/2021,60-69,34554,32343,2211,7843,1093,943,150
07/13/2021,70-79,17730,16677,1053,6566,1854,1569,285
07/13/2021,80 and older,16599,15134,1465,10051,4658,3729,929
09/17/2021,20-29,68075,60219,7856,14628,11,11,0
09/17/2021,30-39,60275,54044,6231,13624,46,44,2
09/17/2021,40-49,53246,48405,4841,12303,161,129,32
09/17/2021,50-59,56085,51467,4618,10798,494,416,78
09/17/2021,60-69,37199,34583,2616,8443,1120,967,153
09/17/2021,70-79,19152,17895,1257,7093,1893,1604,289
09/17/2021,80 and older,17398,15797,1601,10535,4733,3787,946
12/15/2021,40-49,62614,56413,6201,14468,182,146,36
12/15/2021,50-59,64843,58892,5951,12485,533,447,86
12/15/2021,60-69,43539,40049,3490,9882,1223,1049,174
12/15/2021,70-79,21931,20291,1640,8122,2017,1700,317
12/15/2021,80 and older,19081,17248,1833,11554,4960,3954,1006
02/28/2022,0-9,65481,60196,5285,17394,2,2,0
